Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,event_label,event_name,event_type,ranking_label,age_category,gender,WIND,mark_details
1.0,37:11,Roman RASSKAZOV,28 APR 1979,RUS,1,Saransk (RUS),28 MAY 2000,1252.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
2.0,37:33,Erik TYSSE,04 DEC 1980,NOR,1,Hildesheim (GER),27 AUG 2006,1235.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
3.0,37:44,Erik TYSSE,04 DEC 1980,NOR,1,Os (NOR),12 JUN 2009,1227.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
3.0,37:44,Zhen WANG,24 AUG 1991,CHN,1,Beijing (CHN),18 SEP 2010,1227.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
5.0,37:52,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Kraków (POL),08 JUN 2002,1221.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
6.0,37:57,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Kraków (POL),08 JUN 2002,1218.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
6.0,37:57,Yafei CHU,09 MAY 1988,CHN,2,Beijing (CHN),18 SEP 2010,1218.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Kraków (POL),09 JUN 2001,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Giorgio RUBINO,15 APR 1986,ITA,3,Beijing (CHN),18 SEP 2010,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Hao WANG,16 AUG 1989,CHN,4,Beijing (CHN),18 SEP 2010,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
1.0,26:24,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Valencia (ESP),12 JAN 2020,1285.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
2.0,26:33,Berihu AREGAWI,28 FEB 2001,ETH,1,Laredo (ESP),11 MAR 2023,1270.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
3.0,26:38,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Valencia (ESP),01 DEC 2019,1262.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
4.0,26:43,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Herzogenaurach (GER),12 SEP 2021,1254.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
5.0,26:44,Leonard Patrick KOMON,10 JAN 1988,KEN,1,Utrecht (NED),26 SEP 2010,1252.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
6.0,26:46,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Praha (CZE),08 SEP 2018,1249.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
7.0,26:48,Jacob KIPLIMO,14 NOV 2000,UGA,1,Valencia (ESP),14 JAN 2024,1245.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
8.0,26:49,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Cannes (FRA),06 MAR 2022,1244.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
8.0,26:49,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1244.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
10.0,26:50,Kibiwott KANDIE,20 JUN 1996,KEN,1,Herzogenaurach (GER),30 APR 2022,1242.0,10 Kilometres Road,10-kilometres,road-running,Senior - Men,senior,men,,
1.0,44:04,Benard KIBET,25 NOV 1999,KEN,1,Kosa (JPN),04 DEC 2022,1257.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
2.0,44:24,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Tilburg (NED),04 SEP 2005,1238.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
3.0,44:45,Paul KOECH,25 JUN 1969,KEN,1,Amsterdam (NED),21 SEP 1997,1218.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
4.0,44:51,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),12 DEC 2004,1212.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
5.0,44:52,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),06 DEC 2009,1211.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
6.0,44:57,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Bern (SUI),11 MAY 2019,1207.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
7.0,44:59,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),05 DEC 2010,1205.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
8.0,45:01,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Kosa (JPN),10 DEC 2006,1203.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
9.0,45:03,Rodgers KWEMOI,03 MAR 1998,KEN,1,Tilburg (NED),03 SEP 2017,1201.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
10.0,45:06,Evans CHEBET,10 NOV 1988,KEN,2,Tilburg (NED),03 SEP 2017,1198.0,10 Miles Road,10-miles-road,road-running,Senior - Men,senior,men,,
1.0,26:11.00,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020,1306.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
2.0,26:17.53,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1295.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
3.0,26:20.31,Kenenisa BEKELE,13 JUN 1982,ETH,1,Ostrava (CZE),08 JUN 2004,1291.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
4.0,26:22.75,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",01 JUN 1998,1287.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
5.0,26:25.97,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Eugene, OR (USA)",08 JUN 2008,1281.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
6.0,26:27.85,Paul TERGAT,17 JUN 1969,KEN,1,Bruxelles (BEL),22 AUG 1997,1278.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
7.0,26:28.72,Kenenisa BEKELE,13 JUN 1982,ETH,1,"FBK Stadium, Hengelo (NED)",29 MAY 2005,1277.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
8.0,26:29.22,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1276.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
9.0,26:30.03,Nicholas KEMBOI,25 NOV 1983,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1275.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
10.0,26:30.74,Abebe DINKESA,06 MAR 1984,ETH,2,"FBK Stadium, Hengelo (NED)",29 MAY 2005,1273.0,"10,000 Metres",10000-metres,middlelong,Senior - Men,senior,men,,
1.0,37:25.21,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1241.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
2.0,37:25.90,Koki IKEDA,03 MAY 1998,JPN,2.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1241.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
3.0,37:35.00,Yuta KOGA,15 JUL 1999,JPN,3.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1234.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
4.0,37:53.09,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1.0,Santa Cruz de Tenerife (ESP),27 JUL 2008,1220.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
5.0,37:57.02,Perseus KARLSTRÖM,02 MAY 1990,SWE,,"Morton Stadium, Dublin (IRL)",26 JUN 2022,1217.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
6.0,37:58.08,Daisuke MATSUNAGA,24 MAR 1995,JPN,1.0,Kitami (JPN),07 JUL 2018,1217.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
7.0,37:58.6h,Ivano BRUGNETTI,01 SEP 1976,ITA,1.0,Sesto San Giovanni (ITA),23 JUL 2005,1216.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:01.5h,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,Nagasaki (JPN),13 DEC 2015,1214.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
9.0,38:02.60,Jozef PRIBILINEC,06 JUL 1960,TCH,1.0,Banská Bystrica (TCH),30 AUG 1985,1213.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
10.0,38:03.78,Declan TINGAY,06 FEB 1999,AUS,1.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023,1212.0,"10,000 Metres Race Walk",10000-metres-race-walk,race-walks,Senior - Men,senior,men,,
1.0,9.58,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,0.9,
2.0,9.63,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",05 AUG 2012,1337.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,1.5,
3.0,9.69,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",16 AUG 2008,1316.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,0.0,
3.0,9.69,Tyson GAY,09 AUG 1982,USA,1,Shanghai (CHN),20 SEP 2009,1316.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,2.0,
3.0,9.69,Yohan BLAKE,26 DEC 1989,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,-0.1,
6.0,9.71,Tyson GAY,09 AUG 1982,USA,2,"Olympiastadion, Berlin (GER)",16 AUG 2009,1308.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,0.9,
7.0,9.72,Usain BOLT,21 AUG 1986,JAM,1f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1305.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,1.7,
7.0,9.72,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,0.2,
9.0,9.74,Asafa POWELL,23 NOV 1982,JAM,1h2,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1298.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,1.7,
9.0,9.74,Justin GATLIN,10 FEB 1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298.0,100 Metres,100-metres,sprints,Senior - Men,senior,men,0.9,
1.0,12.12,Tobi AMUSAN,23 APR 1997,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1272.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.9,
2.0,12.2,Kendra HARRISON,18 SEP 1992,USA,1,"Olympic Stadium, London (GBR)",22 JUL 2016,1261.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.3,
3.0,12.21,Yordanka DONKOVA,28 SEP 1961,BUL,1,Stara Zagora (BUL),20 AUG 1988,1259.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.7,
4.0,12.24,Yordanka DONKOVA,28 SEP 1961,BUL,1sf,Stara Zagora (BUL),28 AUG 1988,1255.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.9,
4.0,12.24,Kendra HARRISON,18 SEP 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1255.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.7,
4.0,12.24,Kendra HARRISON,18 SEP 1992,USA,1h3,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1255.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,0.1,
