Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,event_label,event_name,event_type,ranking_label,age_category,gender,WIND,mark_details
1.0,37:11,Roman RASSKAZOV,28 APR 1979,RUS,1,Saransk (RUS),28 MAY 2000,1252.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
2.0,37:33,Erik TYSSE,04 DEC 1980,NOR,1,Hildesheim (GER),27 AUG 2006,1235.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
3.0,37:44,Erik TYSSE,04 DEC 1980,NOR,1,Os (NOR),12 JUN 2009,1227.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
3.0,37:44,Zhen WANG,24 AUG 1991,CHN,1,Beijing (CHN),18 SEP 2010,1227.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
5.0,37:52,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Kraków (POL),08 JUN 2002,1221.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
6.0,37:57,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Kraków (POL),08 JUN 2002,1218.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
6.0,37:57,Yafei CHU,09 MAY 1988,CHN,2,Beijing (CHN),18 SEP 2010,1218.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Kraków (POL),09 JUN 2001,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Giorgio RUBINO,15 APR 1986,ITA,3,Beijing (CHN),18 SEP 2010,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Hao WANG,16 AUG 1989,CHN,4,Beijing (CHN),18 SEP 2010,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
8.0,38:00,Vasiliy MIZINOV,29 DEC 1997,RUS,1,Voronovo (RUS),23 AUG 2020,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
12.0,38:01,Pyotr TROFIMOV,18 DEC 1983,RUS,1,Buy (RUS),13 SEP 2014,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
13.0,38:02,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Kraków (POL),09 JUN 2001,1214.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
14.0,38:03,Vasiliy MIZINOV,29 DEC 1997,RUS,1,Voronovo (RUS),30 APR 2023,1213.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
15.0,38:04,Artur MELESHKEVICH,11 APR 1975,BLR,3,Kraków (POL),09 JUN 2001,1212.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
16.0,38:07,David SMITH,24 JUL 1955,AUS,1,Sydney (AUS),25 SEP 1986,1210.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
17.0,38:08,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,San Sebastián (ESP),04 AUG 2007,1209.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
18.0,38:10,Nathan DEAKES,17 AUG 1977,AUS,4,Kraków (POL),09 JUN 2001,1208.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
18.0,38:10,Luis Fernando LÓPEZ,03 JUN 1979,COL,5,Beijing (CHN),18 SEP 2010,1208.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
18.0,38:10,Vasiliy MIZINOV,29 DEC 1997,ANA,1,Voronovo (RUS),03 MAY 2021,1208.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
21.0,38:11,Valeriy BORCHIN,11 SEP 1986,RUS,1,Kraków (POL),30 MAY 2009,1207.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
22.0,38:12,Hatem GHOULA,07 JUN 1973,TUN,,Sesto San Giovanni (ITA),28 MAY 2000,1206.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
22.0,38:12,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Madrid (ESP),04 MAR 2006,1206.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
24.0,38:13,Hyunsub KIM,31 MAY 1985,KOR,6,Beijing (CHN),18 SEP 2010,1206.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
25.0,38:17,Andrey RUZAVIN,28 MAR 1986,RUS,1,Saransk (RUS),19 SEP 2009,1203.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
26.0,38:18,Ding CHEN,05 AUG 1992,CHN,1,Wuzhong (CHN),15 DEC 2020,1202.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
26.0,38:18,Jun ZHANG,20 JUL 1998,CHN,2,Wuzhong (CHN),15 DEC 2020,1202.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
28.0,38:19,Ivano BRUGNETTI,01 SEP 1976,ITA,1,Fiumicino (ITA),09 SEP 2007,1201.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
29.0,38:21,Ilya MARKOV,19 JUN 1972,RUS,2,Hildesheim (GER),27 AUG 2006,1200.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
30.0,38:23,Ding CHEN,05 AUG 1992,CHN,7,Beijing (CHN),18 SEP 2010,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
30.0,38:23,Kaihua WANG,16 FEB 1994,CHN,3,Wuzhong (CHN),15 DEC 2020,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
32.0,38:24,Jefferson PÉREZ,01 JUL 1974,ECU,3,Kraków (POL),08 JUN 2002,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
32.0,38:24,Ivano BRUGNETTI,01 SEP 1976,ITA,1,Saluzzo (ITA),04 AUG 2004,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
34.0,38:25,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,San Fernando de Maspalomas (ESP),03 FEB 2007,1197.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
34.0,38:25,Ilya MARKOV,19 JUN 1972,RUS,2,San Fernando de Maspalomas (ESP),03 FEB 2007,1197.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
36.0,38:26,Erik TYSSE,04 DEC 1980,NOR,1,Hildesheim (GER),28 AUG 2005,1196.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
37.0,38:28,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Mortalaz (ESP),26 APR 2008,1195.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
37.0,38:28,Stanislav YEMELYANOV,23 OCT 1990,RUS,2,Saransk (RUS),19 SEP 2009,1195.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
39.0,38:29,Jared TALLENT,17 OCT 1984,AUS,8,Beijing (CHN),18 SEP 2010,1194.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
40.0,38:30,Ilya MARKOV,19 JUN 1972,RUS,2,Madrid (ESP),04 MAR 2006,1193.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
41.0,38:31,Eder SÁNCHEZ,21 MAY 1986,MEX,3,Saransk (RUS),19 SEP 2009,1192.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
42.0,38:33,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Kraków (POL),12 JUN 2004,1191.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
43.0,38:34,Valdas KAZLAUSKAS,23 FEB 1958,URS,1,Hildesheim (GER),10 JUN 1989,1190.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
44.0,38:37,Kirill FROLOV,29 SEP 1993,RUS,2,Voronovo (RUS),30 APR 2023,1188.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
45.0,38:38,Erik TYSSE,04 DEC 1980,NOR,2,Kraków (POL),30 MAY 2009,1187.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
46.0,38:39,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Kraków (POL),12 JUN 2004,1186.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
47.0,38:40,Ilya MARKOV,19 JUN 1972,RUS,5,Kraków (POL),09 JUN 2001,1186.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
47.0,38:40,Yafei CHU,09 MAY 1988,CHN,1,Kraków (POL),29 MAY 2010,1186.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
49.0,38:41,Luke ADAMS,22 OCT 1976,AUS,9,Beijing (CHN),18 SEP 2010,1185.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
50.0,38:42,Chilsung PARK,08 JUL 1982,KOR,10,Beijing (CHN),18 SEP 2010,1184.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
50.0,38:42,Perseus KARLSTRÖM,02 MAY 1990,SWE,1,Madrid (ESP),16 MAY 2022,1184.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
52.0,38:44,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Hildesheim (GER),13 SEP 2003,1183.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
53.0,38:45,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Almería (ESP),13 FEB 2005,1182.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
54.0,38:46,Aigars FADEJEVS,27 DEC 1975,LAT,,Druskininkai (LTU),10 SEP 1995,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
54.0,38:46,Juan Manuel MOLINA,15 MAR 1979,ESP,3,Madrid (ESP),04 MAR 2006,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
54.0,38:46,Yohann DINIZ,01 JAN 1978,FRA,3,Kraków (POL),30 MAY 2009,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
54.0,38:46,Eder SÁNCHEZ,21 MAY 1986,MEX,2,Kraków (POL),29 MAY 2010,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
58.0,38:47,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Kraków (POL),14 JUN 2003,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
58.0,38:47,Aleksandr YARGUNKIN,06 JAN 1981,RUS,1,Saransk (RUS),10 JUN 2006,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
58.0,38:47,Kirill FROLOV,29 SEP 1993,RUS,1,Podolsk (RUS),03 MAY 2019,1181.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
61.0,38:48,Andrey RUZAVIN,28 MAR 1986,RUS,2,Saransk (RUS),10 JUN 2006,1180.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
61.0,38:48,Maksim PYANZIN,22 MAY 2003,ANA,1,Cheboksary (RUS),30 MAY 2021,1180.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
63.0,38:49,Jozef PRIBILINEC,06 JUL 1960,SVK,1,Bad Salzdefürth (GER),03 SEP 1986,1179.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
63.0,38:49,Diego GARCÍA CARRERA,19 JAN 1996,ESP,2,Madrid (ESP),16 MAY 2022,1179.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
65.0,38:50,Zhen WANG,24 AUG 1991,CHN,1,La Coruña (ESP),17 SEP 2011,1178.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
65.0,38:50,Ruslan DMYTRENKO,22 MAR 1986,UKR,1,Moskva (RUS),30 AUG 2014,1178.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
